#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:p95	ci-width:p95	ci-miss-rate
rationalPower1,2,1,1	1428	313814094	BF	hours	minutes	0.000000	0.000500	0.794588	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	hours	0.000000	0.000500	0.134640	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	days	0.000000	0.000500	0.021682	0.000000
rationalPower1,2,1,1	1428	313814094	BF	hours	months	0.000000	0.000500	0.013448	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	seconds	0.171245	0.000500	0.999697	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	minutes	0.000000	0.000500	0.976801	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	hours	0.000000	0.000500	0.584306	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	days	0.000000	0.000500	0.056137	0.000000
rationalPower1,2,1,1	1428	313814094	BF	days	months	0.000000	0.000500	0.014761	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	seconds	0.177196	0.000500	0.999940	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	minutes	0.000000	0.000500	0.995888	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	hours	0.000000	0.000500	0.876420	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	days	0.000000	0.000500	0.203037	0.000000
rationalPower1,2,1,1	1428	313814094	BF	months	months	0.000000	0.000000	0.031903	0.000000
rationalPower1,2,1,1	1428	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	seconds	0.067797	0.000500	0.180019	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	minutes	0.000000	0.001000	0.051737	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	hours	0.000000	0.000000	0.023319	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	days	0.000000	0.001500	0.017258	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	months	0.000000	0.000000	0.014367	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	seconds	0.038495	0.000500	0.329920	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	minutes	0.000287	0.000500	0.049935	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	hours	0.000000	0.000500	0.024261	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	days	0.000000	0.000500	0.016809	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	months	0.000000	0.000500	0.014361	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	seconds	0.160299	0.000500	0.941641	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	minutes	0.000000	0.000500	0.189609	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	hours	0.000000	0.000500	0.029956	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	days	0.000000	0.000500	0.017312	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	months	0.000000	0.000500	0.014107	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	seconds	0.179808	0.000500	0.994896	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	minutes	0.000000	0.000500	0.728644	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	hours	0.000000	0.000500	0.078942	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	days	0.000000	0.000500	0.018775	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	months	0.000000	0.000500	0.014472	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	seconds	0.171245	0.000500	0.999706	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	minutes	0.000000	0.000500	0.975963	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	hours	0.000000	0.000500	0.580678	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	days	0.000000	0.000500	0.055511	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	months	0.000000	0.000500	0.016260	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	seconds	0.177196	0.000500	0.999959	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	minutes	0.000000	0.000500	0.996399	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	hours	0.000000	0.000500	0.904894	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	days	0.000000	0.000500	0.284608	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	months	0.000000	0.000500	0.040136	0.000000
rationalPower1,4,32,1	1523	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	seconds	0.067797	0.000500	0.181428	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	minutes	0.000000	0.001500	0.056935	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	hours	0.000000	0.000000	0.027623	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	days	0.000000	0.000500	0.015138	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	months	0.000000	0.001000	0.011939	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	seconds	0.063488	0.000500	0.519183	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	minutes	0.000000	0.000500	0.066642	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	hours	0.000000	0.000500	0.026451	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	days	0.000000	0.000500	0.014952	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	months	0.000000	0.001000	0.011937	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	seconds	0.168342	0.000500	0.961941	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	minutes	0.000000	0.000500	0.250103	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	hours	0.000000	0.000500	0.032597	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	days	0.000000	0.000500	0.014668	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	months	0.000000	0.001500	0.011869	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	seconds	0.179808	0.000500	0.995203	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	minutes	0.000000	0.000500	0.716832	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	hours	0.000000	0.000500	0.111242	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	days	0.000000	0.000500	0.016709	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	months	0.000000	0.001500	0.012295	0.000000
rationalPower1,2,2,1	2278	313814094	BF	days	seconds	0.171245	0.000500	0.999504	0.000000
