#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,2,1,1	1428	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	seconds	0.067797	0.000051	0.040644	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	minutes	0.000000	0.000034	0.025700	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	hours	0.000000	0.000000	0.015502	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	days	0.000000	0.000138	0.013197	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	months	0.000000	0.000000	0.011547	0.000000
rationalPower1,4,32,1	1523	313814094	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	seconds	0.038495	0.000032	0.115461	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	minutes	0.000287	0.000036	0.026214	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	hours	0.000000	0.000035	0.016577	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	days	0.000000	0.000034	0.013152	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	months	0.000000	0.000049	0.011544	0.000000
rationalPower1,4,32,1	1523	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	seconds	0.160299	0.000012	0.577450	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	minutes	0.000000	0.000017	0.063929	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	hours	0.000000	0.000041	0.018039	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	days	0.000000	0.000039	0.013442	0.000000
rationalPower1,4,32,1	1523	313814094	BF	minutes	months	0.000000	0.000057	0.011575	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	seconds	0.179808	0.000036	0.923875	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	minutes	0.000000	0.000032	0.289000	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	hours	0.000000	0.000034	0.033867	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	days	0.000000	0.000049	0.013937	0.000000
rationalPower1,4,32,1	1523	313814094	BF	hours	months	0.000000	0.000036	0.011909	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	seconds	0.171245	0.000025	0.993635	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	minutes	0.000000	0.000033	0.773842	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	hours	0.000000	0.000027	0.209874	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	days	0.000000	0.000039	0.023699	0.000000
rationalPower1,4,32,1	1523	313814094	BF	days	months	0.000000	0.000047	0.012644	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	seconds	0.177196	0.000026	0.999198	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	minutes	0.000000	0.000028	0.954511	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	hours	0.000000	0.000024	0.550351	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	days	0.000000	0.000025	0.082042	0.000000
rationalPower1,4,32,1	1523	313814094	BF	months	months	0.000000	0.000045	0.017248	0.000000
rationalPower1,4,32,1	1523	313814094	BF	years	seconds	1.000000	0.000000	1.000000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	seconds	0.067797	0.000034	0.064597	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	minutes	0.000000	0.000068	0.028728	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	hours	0.000000	0.000000	0.017166	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	days	0.000000	0.000034	0.012442	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	months	0.000000	0.000182	0.010929	0.000000
rationalPower1,2,2,1	2278	313814094	BF	subsecond	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	seconds	0.063488	0.000032	0.176715	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	minutes	0.000000	0.000017	0.033864	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	hours	0.000000	0.000037	0.016971	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	days	0.000000	0.000039	0.012511	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	months	0.000000	0.000069	0.010926	0.000000
rationalPower1,2,2,1	2278	313814094	BF	seconds	years	0.000000	0.000000	0.010000	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	seconds	0.168342	0.000030	0.658144	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	minutes	0.000000	0.000029	0.080958	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	hours	0.000000	0.000035	0.018905	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	days	0.000000	0.000045	0.012144	0.000000
rationalPower1,2,2,1	2278	313814094	BF	minutes	months	0.000000	0.000066	0.010879	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	seconds	0.179808	0.000035	0.932555	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	minutes	0.000000	0.000031	0.288418	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	hours	0.000000	0.000049	0.035800	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	days	0.000000	0.000031	0.012725	0.000000
rationalPower1,2,2,1	2278	313814094	BF	hours	months	0.000000	0.000063	0.010976	0.000000
rationalPower1,2,2,1	2278	313814094	BF	days	seconds	0.171245	0.000027	0.991684	0.000000
