#decay	# windows in store	# elements in stream	query	age class	length class	error:mean	latency:mean	ci-width:mean	ci-miss-rate
rationalPower1,2,2,1	2278	313814094	CMS	hours	seconds	0.405125	0.000020	1.885191	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	hours	minutes	0.037690	0.000012	0.180725	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	hours	hours	0.001427	0.000087	0.007851	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	hours	days	0.000093	0.000382	0.000448	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	hours	months	0.000014	0.001166	0.000069	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	days	seconds	0.456156	0.000014	1.921831	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	days	minutes	0.065014	0.000016	0.316728	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	days	hours	0.004301	0.000009	0.020873	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	days	days	0.000157	0.000161	0.000767	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	days	months	0.000015	0.000812	0.000079	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	months	seconds	0.440140	0.000002	1.926895	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	months	minutes	0.074778	0.000006	0.367466	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	months	hours	0.009048	0.000008	0.044093	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	months	days	0.000326	0.000044	0.001870	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	months	months	0.000042	0.000485	0.000187	0.000000
rationalPower1,2,2,1	2278	313814094	CMS	years	seconds	0.000101	0.004000	2.000000	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	subsecond	seconds	0.010418	0.000000	0.063137	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	subsecond	minutes	0.004174	0.000051	0.019599	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	subsecond	hours	0.000522	0.002261	0.002552	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	subsecond	days	0.000055	0.001345	0.000311	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	subsecond	months	0.000012	0.003636	0.000051	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	subsecond	years	0.000000	0.003000	0.000000	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	seconds	seconds	0.065144	0.000010	0.382073	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	seconds	minutes	0.005498	0.000031	0.020888	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	seconds	hours	0.000574	0.000175	0.002691	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	seconds	days	0.000060	0.000716	0.000302	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	seconds	months	0.000010	0.001627	0.000051	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	seconds	years	0.000000	0.031000	0.000000	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	minutes	seconds	0.270549	0.000003	1.416487	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	minutes	minutes	0.011882	0.000023	0.057714	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	minutes	hours	0.000680	0.000178	0.003315	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	minutes	days	0.000061	0.000561	0.000305	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	minutes	months	0.000011	0.001698	0.000052	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	hours	seconds	0.393317	0.000002	1.861388	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	hours	minutes	0.028785	0.000007	0.148035	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	hours	hours	0.001266	0.000030	0.006040	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	hours	days	0.000071	0.000472	0.000355	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	hours	months	0.000011	0.001826	0.000054	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	days	seconds	0.454298	0.000004	1.918135	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	days	minutes	0.060415	0.000009	0.295917	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	days	hours	0.003632	0.000012	0.017656	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	days	days	0.000138	0.000147	0.000677	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	days	months	0.000013	0.001235	0.000065	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	months	seconds	0.440137	0.000002	1.925626	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	months	minutes	0.073020	0.000003	0.360201	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	months	hours	0.007028	0.000004	0.035289	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	months	days	0.000257	0.000053	0.001353	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	months	months	0.000029	0.001530	0.000125	0.000000
rationalPower1,2,4,1	3578	313814094	CMS	years	seconds	0.000100	0.000000	2.000000	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	subsecond	seconds	0.006393	0.000017	0.023657	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	subsecond	minutes	0.003633	0.000085	0.015508	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	subsecond	hours	0.000380	0.000870	0.001728	0.000000
rationalPower1,2,8,1	5722	313814094	CMS	subsecond	days	0.000050	0.001345	0.000256	0.000000
